###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_capital_ship_turbines_6;GE / Westinghouse Mk 19;;;;;;;;;;;;;;x
USA_capital_ship_turbines_7;GE / Westinghouse Mk 20;;;;;;;;;;;;;;x
USA_capital_ship_turbines_8;GE / Westinghouse Mk 21;;;;;;;;;;;;;;x
USA_capital_ship_turbines_9;GE / Westinghouse Mk 22;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_1;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_2;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_3;4 Blades, Mn-Bronze, 16 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_4;4 Blades, Ni-Al-Bronze, 17 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_5;4 Blades, Ni-Al-Bronze, 17.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_6;4 Blades, Ni-Al-Bronze, 18 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_7;4 Blades, Ni-Al-Bronze, 18.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_8;4 Blades, Ni-Al-Bronze, 19 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_screws_optimisation_9;4 Blades, Ni-Al-Bronze, 19.5 ft pitch;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_1;Balanced, 600 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_2;Balanced, 650 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_3;Balanced, 675 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_4;Balanced, 750 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_5;Balanced, 1000 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_6;Balanced, 1050 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_7;Balanced, 1100 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_8;Balanced, 1150 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_rudder_optimisation_9;Balanced, 1250 sq ft;;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_1;BuShips Hull Shape Blueprint 1918;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_2;BuShips Hull Shape Blueprint 1930;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_3;BuShips Hull Shape Blueprint 1933;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_4;BuShips Hull Shape Blueprint 1936;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_5;BuShips Hull Shape Blueprint 1939;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_6;BuShips Hull Shape Blueprint 1942;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_7;BuShips Hull Shape Blueprint 1945;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_8;BuShips Hull Shape Blueprint 1948;;;;;;;;;;;;;x
USA_capital_ship_hull_shape_optimisation_9;BuShips Hull Shape Blueprint 1951;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_1;Turrets: 178mm Barbettes: 178mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_2;Turrets: 203mm Barbettes: 203mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_3;Turrets: 229mm Barbettes: 229mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_4;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_5;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_6;Turrets: 230mm Barbettes: 230mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_7;Turrets: 380mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_8;Turrets: 410mm Barbettes: 380mm;;;;;;;;;;;;;;x
USA_battlecruiser_armour_thickness_9;Turrets: 410mm Barbettes: 410mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_1;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_2;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_3;Turrets: 356mm Barbettes: 343mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_4;Turrets: 406mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_5;Turrets: 457mm Barbettes: 356mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_6;Turrets: 457mm Barbettes: 380mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_7;Turrets: 457mm Barbettes: 406mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_8;Turrets: 457mm Barbettes: 430mm;;;;;;;;;;;;;;x
USA_battleship_armour_thickness_9;Turrets: 457mm Barbettes: 457mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_1;Turrets: 650mm Barbettes: 460mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_2;Turrets: 700mm Barbettes: 500mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_3;Turrets: 750mm Barbettes: 550mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_4;Turrets: 775mm Barbettes: 600mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_5;Turrets: 775mm Barbettes: 650mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_armour_thickness_6;Turrets: 775mm Barbettes: 700mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_1;BC: 178mm / BB: 330mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_2;BC: 178mm / BB: 330mm / SHBB: 450mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_3;BC: 190mm / BB: 335mm / SHBB: 500mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_4;BC: 203mm / BB: 343mm / SHBB: 550mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_5;BC: 254mm / BB: 343mm / SHBB: 600mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_6;BC: 292mm / BB: 356mm / SHBB: 650mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_7;BC: 305mm / BB: 380mm / SHBB: 675mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_8;BC: 305mm / BB: 406mm / SHBB: 700mm;;;;;;;;;;;;;;x
USA_capital_ship_vertical_protection_9;BC: 330mm / BB: 430mm / SHBB: 750mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_1;BC: 51mm / BB: 102mm / SHBB: 230mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_2;BC: 51mm / BB: 102mm / SHBB: 250mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_3;BC: 32mm / BB: 102mm / SHBB: 280mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_4;BC: 76mm / BB: 146mm / SHBB: 305mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_5;BC: 102mm / BB: 178mm / SHBB: 305mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_6;BC: 125mm / BB: 185mm / SHBB: 330mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_7;BC: 140mm / BB: 190mm / SHBB: 350mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_8;BC: 155mm / BB: 200mm / SHBB: 380mm;;;;;;;;;;;;;;x
USA_capital_ship_horizontal_protection_9;BC: 175mm / BB: 210mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_1;BC: 0m/25mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_2;BC: 0m/50mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_3;BC: 3m/38mm BB: 3.5m/55mm SHBB: 6m/300mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_4;BC: 3.5m/75mm BB: 4m/75mm SHBB: 6m/330mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_5;BC: 4m/75mm BB: 4m/75mm SHBB: 6.5m/330mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_6;BC: 5m/85mm BB: 5m/85mm SHBB: 7m/350mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_7;BC: 5.5m/90mm BB: 5.5m/95mm SHBB: 7.5m/375mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_8;BC: 5.5m/95mm BB: 6m/105mm SHBB: 7.5m/400mm;;;;;;;;;;;;;x
USA_capital_ship_torpedo_protection_9;BC: 6m/100mm BB: 6.5m/115mm SHBB: 8m/410mm;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_1;BC: 100mm / BB: 100mm / SHBB: 410mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_2;BC: 110mm / BB: 110mm / SHBB: 450mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_3;BC: 115mm / BB: 115mm / SHBB: 500mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_4;BC: 127mm / BB: 127mm / SHBB: 550mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_5;BC: 127mm / BB: 127mm / SHBB: 600mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_6;BC: 140mm / BB: 140mm / SHBB: 620mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_7;BC: 140mm / BB: 140mm / SHBB: 650mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_8;BC: 152mm / BB: 152mm / SHBB: 675mm;;;;;;;;;;;;;;x
USA_capital_ship_bulkheads_layout_9;BC: 152mm / BB: 152mm / SHBB: 700mm;;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_1;BuShips Super Heavy Battleship Blueprint 1940;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_2;BuShips Super Heavy Battleship Blueprint 1942;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_3;BuShips Super Heavy Battleship Blueprint 1945;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_4;BuShips Super Heavy Battleship Blueprint 1948;;;;;;;;;;;;;x
USA_super_heavy_battleship_technology_5;BuShips Super Heavy Battleship Blueprint 1951;;;;;;;;;;;;;x
USA_fast_battleship_1;;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_1;SC-1 / CXAM;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_2;SC-1 / CXAM-1;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_3;SC-2 / SG-1;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_4;SC-3 / SG-2;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_5;SC-3A / SG-3;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_6;SC-4 / SG-4;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_7;SC-4 / SG-A;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_8;SC-5 / SG-B;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_9;SC-5 / SG-C;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_10;SC-6 / SG-C;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_11;SC-6 / SG-D;;;;;;;;;;;;;;x
USA_largewarship_surface_radar_12;SC-7 / SG-D;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_1;SC-1;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_2;SC-1;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_3;SC-2;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_4;SC-3;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_5;SC-3A;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_6;SC-4;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_7;SC-4;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_8;SC-5;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_9;SC-5;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_10;SC-6;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_11;SC-7;;;;;;;;;;;;;;x
USA_largewarship_air_detection_radar_12;SC-8;;;;;;;;;;;;;;x
USA_capitalship_damage_control_1;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_2;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_3;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_4;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_5;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_6;;;;;;;;;;;;;;;x
USA_capitalship_damage_control_7;;;;;;;;;;;;;;;x
USA_fire_control_computer_1;9-ft RF, Mk I director;;;;;;;;;;;;;;x
USA_fire_control_computer_2;24-ft RF, Mk I Mod.1–3 director, Dumaresq Mk I/II;;;;;;;;;;;;;;x
USA_fire_control_computer_3;24-ft RF, Mk I Mod.4 director, Dumaresq Mk II;;;;;;;;;;;;;;x
USA_fire_control_computer_4;24-ft RF, Mk I Mod.5 director, Dumaresq Mk II, Mk 8/13 radar;;;;;;;;;;;;;;x
USA_fire_control_computer_5;24-ft RF, Mk I Mod.5 director, Dumaresq Mk II Mod.2, Mk 8/13 radar;;;;;;;;;;;;;;x
USA_fire_control_computer_6;24-ft RF, Mk I Mod.6 director, Dumaresq Mk II Mod.3, Mk 13 radar;;;;;;;;;;;;;;x
USA_fire_control_computer_7;24-ft RF, Mk I Mod.7 director, Dumaresq Mk II Mod.4, Mk 13 radar;;;;;;;;;;;;;;x
USA_AAA_control_computer_1;Mk II / Mk III Director;;;;;;;;;;;;;;x
USA_AAA_control_computer_2;Mk II / Mk III Mod.1 Director;;;;;;;;;;;;;;x
USA_AAA_control_computer_3;Mk II / Mk III Mod.2 Director, Mark 4 radar;;;;;;;;;;;;;;x
USA_AAA_control_computer_4;Mk II / Mk III Mod.3 Director, Mark 4/12 radar;;;;;;;;;;;;;;x
USA_AAA_control_computer_5;Mk II / Mk III Mod.4 Director, Mark 12 radar;;;;;;;;;;;;;;x
USA_AAA_control_computer_6;Mk II / Mk III Mod.5 Director, Mark 12/SG radar;;;;;;;;;;;;;;x
USA_AAA_control_computer_7;Mk II / Mk III Mod.6 Director, Mark 12/SG radar;;;;;;;;;;;;;;x
USA_floatplane_dev_scout_1;Curtiss SOC-1 Seagull / Vought O3U Corsair;;;;;;;;;;;;;;x
USA_floatplane_dev_scout_2;Curtiss SOC-2 Seagull / Vought O3U Corsair;;;;;;;;;;;;;;x
USA_floatplane_dev_scout_3;Curtiss SOC-3 Seagull / Curtiss SO3C Seamew;;;;;;;;;;;;;;x
USA_floatplane_dev_scout_4;Curtiss SOC-4 Seagull / Curtiss SO3C Seamew;;;;;;;;;;;;;;x
USA_floatplane_dev_torpedo_1;Curtiss SOC-1 Seagull;;;;;;;;;;;;;;x
USA_floatplane_dev_torpedo_2;Curtiss SOC-2 Seagull;;;;;;;;;;;;;;x
USA_floatplane_dev_torpedo_3;Curtiss SOC-3 Seagull;;;;;;;;;;;;;;x
USA_floatplane_dev_torpedo_4;Curtiss SOC-4 Seagull;;;;;;;;;;;;;;x
USA_floatplane_dev_fighter_1;F6C-4 / F6C-3;;;;;;;;;;;;;;x
USA_floatplane_dev_fighter_2;BF2C-1;;;;;;;;;;;;;;x
USA_floatplane_dev_fighter_3;BF2C-1 / Curtiss SO3C Seamew;;;;;;;;;;;;;;x
USA_floatplane_dev_fighter_4;Curtiss SO3C Seamew;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_1;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_2;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_3;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_4;20mm Oerlikon cannon, .50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_5;20mm Oerlikon Mk 4, 40mm Bofors Mk I/II;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_6;40mm Bofors Mk I/II, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_7;40mm Bofors Mk II, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_capital_ship_light_anti_air_artilery_8;40mm Bofors Mk II;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_1;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_2;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_3;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_4;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_5;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_6;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_7;;;;;;;;;;;;;;x
USA_capital_ship_medium_anti_air_artilery_8;;;;;;;;;;;;;;x
USA_capital_ship_heavy_anti_air_artilery_1;3"/23 caliber Mark 6/8, 5"/25 caliber Mark 3/4;;;;;;;;;;;;;;x
USA_capital_ship_heavy_anti_air_artilery_2;5"/25 caliber Mark 3/4, 3"/50 caliber Mark 22/24;;;;;;;;;;;;;;x
USA_capital_ship_heavy_anti_air_artilery_3;5"/38 caliber Mark 12/32, 3"/50 caliber Mark 22/24;;;;;;;;;;;;;;x
USA_capital_ship_heavy_anti_air_artilery_4;5"/38 caliber Mark 12/32;;;;;;;;;;;;;;x
USA_capital_ship_heavy_anti_air_artilery_5;5"/38 caliber Mark 32;;;;;;;;;;;;;;x
USA#########################################################################;;;;;;;;;;;;;x
USA_light_carrier_technology_0;;;;;;;;;;;;;;x
USA_light_carrier_technology_1;BuShips 1918 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_2;BuShips 1931 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_3;BuShips 1934 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_4;BuShips 1937 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_5;BuShips 1940 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_6;BuShips 1943 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_7;BuShips 1946 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_8;BuShips 1949 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_light_carrier_technology_9;BuShips 1952 Light Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_technology_1;BuShips 1918 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_technology_2;BuShips 1930 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_technology_3;BuShips 1933 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_1;BuShips 1936 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_2;BuShips 1939 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_3;BuShips 1942 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_4;BuShips 1945 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_5;BuShips 1948 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_class_6;BuShips 1951 Fleet Carrier Blueprint;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_1;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_2;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_3;.50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_4;20mm Oerlikon cannon, .50 caliber M2 Browning;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_5;20mm Oerlikon Mk 4, 40mm Bofors Mk I/II;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_6;40mm Bofors Mk I/II, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_7;40mm Bofors Mk II, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_carrier_light_anti_air_artilery_8;40mm Bofors Mk II;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_1;3"/23 caliber Mark 6/8, 5"/25 caliber Mark 3/4;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_2;5"/25 caliber Mark 3/4, 3"/50 caliber Mark 22/24;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_3;5"/38 caliber Mark 12/32, 3"/50 caliber Mark 22/24;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_4;5"/38 caliber Mark 12/32;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_5;5"/38 caliber Mark 32;;;;;;;;;;;;;;x
USA_carrier_heavy_anti_air_artilery_6;5"/38 caliber Mark 36;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_1;4 Blades, Ni-Al-Bronze, 5.18m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_2;4 Blades, Ni-Al-Bronze, 5.18-5.49m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_3;4 Blades, Ni-Al-Bronze, 5.49m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_4;4 Blades, Ni-Al-Bronze, 5.49m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_5;4 Blades, Ni-Al-Bronze, 5.79m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_6;4 Blades, Ni-Al-Bronze, 6.1m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_7;4 Blades, Ni-Al-Bronze, 6.2m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_8;4 Blades, Ni-Al-Bronze, 6.3m pitch;;;;;;;;;;;;;;x
USA_carrier_screws_optimisation_9;4 Blades, Ni-Al-Bronze, 6.4m pitch;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_1;Balanced Rudder, 1.300 sq ft, 10.500 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_2;Balanced Rudder, 1.250 sq ft, 10.500 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_3;Balanced Rudder, 1.450 sq ft, 11.500 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_4;Balanced Rudder, 1.600 sq ft, 12.000 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_5;Balanced Rudder, 1.700 sq ft, 14.000 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_6;Balanced Rudder, 2.100 sq ft, 14.000 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_7;Balanced Rudder, 2.150 sq ft, 15.000 psi;;;;;;;;;;;;;;x
