###########################################################;;;;;;;;;;;;;x
SOV_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_1;TsKB-17 1918 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_2;TsKB-17 1930 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_3;TsKB-17 1932 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_4;TsKB-17 1934 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_0;;;;;;;;;;;;;;x
SOV_destroyer_class_1;TsKB-17 1936 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_2;TsKB-17 1938 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_3;TsKB-17 1940 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_4;TsKB-17 1942 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_5;TsKB-17 1944 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_6;TsKB-17 1946 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_7;TsKB-17 1948 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_8;TsKB-17 1950 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_0;;;;;;;;;;;;;;x
SOV_frigate_class_1;TsKB-17 1939 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_2;TsKB-17 1940 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_3;TsKB-17 1942 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_4;TsKB-17 1944 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_5;TsKB-17 1946 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_6;TsKB-17 1948 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_7;TsKB-17 1950 Frigate Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_torpedo_boat_class_1;TsKB-17 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_2;TsKB-17 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_3;TsKB-17 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_4;TsKB-17 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_5;TsKB-17 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_6;TsKB-17 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_7;TsKB-17 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_8;TsKB-17 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_9;TsKB-17 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_10;TsKB-17 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_11;TsKB-17 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_1;TsKB-17 1918 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_2;TsKB-17 1932 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_3;TsKB-17 1934 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_4;TsKB-17 1936 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_5;TsKB-17 1938 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_6;TsKB-17 1940 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_7;TsKB-17 1942 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_8;TsKB-17 1944 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_9;TsKB-17 1946 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_10;TsKB-17 1948 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_11;TsKB-17 1950 MTB Blueprint;;;;;;;;;;;;;x
SOV_capital_ship_boilers_5;24x KV-78, 32kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_6;24x KV-78M, 32kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_7;24x KV-90, 35kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_8;24x KV-92, 38kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_boilers_9;24x KV-95, 40kg/cm2;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_1;4x Parsons-type direct-drive turbines;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_2;4x KV-23 geared steam turbines;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_3;4x KV-30;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_4;4x KV-76/78;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_5;4x GT-1/GT-2;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_6;4x GT-2M;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_7;4x KV-90;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_8;4x GT-3;;;;;;;;;;;;;;x
SOV_capital_ship_turbines_9;4x GT-3M;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_1;4x3 Bladed, Bronze, 4.5m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_2;4x4 Bladed, Bronze, 4.7-5m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_3;4x4 Bladed, Ni-Bronze, 5-5.2m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_4;4x4 Bladed, Ni-Bronze, 5.2m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_5;4x4 Bladed, Ni-Bronze, 5.3-5.5m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_6;4x4 Bladed, Ni-Bronze, 5.5m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_7;4x4 Bladed, Ni-Bronze, 5.6m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_8;4x4 Bladed, Ni-Bronze, 5.8m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_screws_optimisation_9;4x4 Bladed, Ni-Bronze, 6m pitch;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_1;Balanced, Mild steel, 25m2, 500psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_2;Semi-balanced, Steel, 30m2, 800psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_3;2x Semi-balanced, Steel, 22m2, 1000psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_4;2x Semi-balanced, Steel, 25m2, 1200psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_5;2x Semi-balanced, Steel, 30m2, 1200psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_6;2x Semi-balanced, Steel, 32m2, 1400psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_7;2x Semi-balanced, Steel, 34m2, 1600psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_8;2x Semi-balanced, Steel, 36m2, 1800psi;;;;;;;;;;;;;;x
SOV_capital_ship_rudder_optimisation_9;2x Semi-balanced, Steel, 37m2, 1900psi;;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_1;TsKB-53 Hull Shape Blueprint 1943;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_2;TsKB-53 Hull Shape Blueprint 1946;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_3;TsKB-53 Hull Shape Blueprint 1949;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_4;TsKB-53 Hull Shape Blueprint 1943;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_5;TsKB-53 Hull Shape Blueprint 1946;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_6;TsKB-53 Hull Shape Blueprint 1949;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_7;TsKB-53 Hull Shape Blueprint 1943;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_8;TsKB-53 Hull Shape Blueprint 1946;;;;;;;;;;;;;x
SOV_capital_ship_hull_shape_optimisation_9;TsKB-53 Hull Shape Blueprint 1949;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_1;Turrets: 178mm Barbettes: 178mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_2;Turrets: 203mm Barbettes: 203mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_3;Turrets: 229mm Barbettes: 229mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_4;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_5;Turrets: 356mm Barbettes: 356mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_6;Turrets: 230mm Barbettes: 230mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_7;Turrets: 380mm Barbettes: 356mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_8;Turrets: 410mm Barbettes: 380mm;;;;;;;;;;;;;;x
SOV_battlecruiser_armour_thickness_9;Turrets: 410mm Barbettes: 410mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_1;Turrets: 320mm Barbettes: 280mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_2;Turrets: 320mm Barbettes: 280mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_3;Turrets: 330mm Barbettes: 300mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_4;Turrets: 350mm Barbettes: 350mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_5;Turrets: 380mm Barbettes: 380mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_6;Turrets: 400mm Barbettes: 400mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_7;Turrets: 420mm Barbettes: 420mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_8;Turrets: 440mm Barbettes: 440mm;;;;;;;;;;;;;;x
SOV_battleship_armour_thickness_9;Turrets: 460mm Barbettes: 460mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_1;Turret: 508mm Barbettes: 508mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_2;Turret: 533mm Barbettes: 533mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_3;Turret: 558mm Barbettes: 558mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_4;Turret: 571mm Barbettes: 571mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_5;Turret: 584mm Barbettes: 584mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_armour_thickness_6;Turret: 609mm Barbettes: 609mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_1;BC: 210mm / BB: 250mm / SHBB: 400mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_2;BC: 230mm / BB: 254mm / SHBB: 450mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_3;BC: 250mm / BB: 303mm / SHBB: 500mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_4;BC: 310mm / BB: 350mm / SHBB: 550mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_5;BC: 330mm / BB: 350mm / SHBB: 600mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_6;BC: 350mm / BB: 380mm / SHBB: 650mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_7;BC: 370mm / BB: 400mm / SHBB: 700mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_8;BC: 390mm / BB: 420mm / SHBB: 725mm;;;;;;;;;;;;;;x
SOV_capital_ship_vertical_protection_9;BC: 410mm / BB: 440mm / SHBB: 750mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_1;BC: 60mm / BB: 135mm / SHBB: 230mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_2;BC: 80mm / BB: 135mm / SHBB: 250mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_3;BC: 100mm / BB: 140mm / SHBB: 280mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_4;BC: 120mm / BB: 162mm / SHBB: 305mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_5;BC: 140mm / BB: 205mm / SHBB: 305mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_6;BC: 160mm / BB: 220mm / SHBB: 330mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_7;BC: 180mm / BB: 240mm / SHBB: 350mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_8;BC: 200mm / BB: 260mm / SHBB: 380mm;;;;;;;;;;;;;;x
SOV_capital_ship_horizontal_protection_9;BC: 220mm / BB: 280mm / SHBB: 410mm;;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_1;BC: 0m/25mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_2;BC: 0m/50mm BB: 3m/50mm SHBB: 5m/200mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_3;BC: 3m/38mm BB: 3.5m/55mm SHBB: 6m/300mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_4;BC: 3.5m/75mm BB: 4m/75mm SHBB: 6m/330mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_5;BC: 4m/75mm BB: 4m/75mm SHBB: 6.5m/330mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_6;BC: 5m/85mm BB: 5m/85mm SHBB: 7m/350mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_7;BC: 5.5m/90mm BB: 5.5m/95mm SHBB: 7.5m/375mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_8;BC: 5.5m/95mm BB: 6m/105mm SHBB: 7.5m/400mm;;;;;;;;;;;;;x
SOV_capital_ship_torpedo_protection_9;BC: 6m/100mm BB: 6.5m/115mm SHBB: 8m/410mm;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_1;BC: 152mm / BB: 305mm / SHBB: 410mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_2;BC: 152mm / BB: 305mm / SHBB: 450mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_3;BC: 152mm / BB: 305mm / SHBB: 500mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_4;BC: 254mm / BB: 305mm / SHBB: 550mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_5;BC: 254mm / BB: 305mm / SHBB: 600mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_6;BC: 190mm / BB: 320mm / SHBB: 620mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_7;BC: 280mm / BB: 356mm / SHBB: 650mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_8;BC: 280mm / BB: 356mm / SHBB: 675mm;;;;;;;;;;;;;;x
SOV_capital_ship_bulkheads_layout_9;BC: 305mm / BB: 380mm / SHBB: 700mm;;;;;;;;;;;;;;x
SOV_super_heavy_battleship_technology_1;TsKB-53 Super Heavy Battleship Blueprint 1940;;;;;;;;;;;;;x
SOV_super_heavy_battleship_technology_2;TsKB-53 Super Heavy Battleship Blueprint 1942;;;;;;;;;;;;;x
SOV_super_heavy_battleship_technology_3;TsKB-53 Super Heavy Battleship Blueprint 1945;;;;;;;;;;;;;x
SOV_super_heavy_battleship_technology_4;TsKB-53 Super Heavy Battleship Blueprint 1948;;;;;;;;;;;;;x
SOV_super_heavy_battleship_technology_5;TsKB-53 Super Heavy Battleship Blueprint 1951;;;;;;;;;;;;;x
SOV_fast_battleship_1;;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_1;Rif;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_2;Redut-K;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_3;Redut-3K;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_5;Zalp;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_6;Redut-5K;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_7;Giuis-3;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_8;Redut-7K;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_9;Redut-8K;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_10;Giuis-4;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_11;Fut-N;;;;;;;;;;;;;;x
SOV_largewarship_surface_radar_12;Giuis-5;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_1;Rif;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_2;Rif-2;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_3;Rif-3;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_4;Giuis-1;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_5;Giuis-2;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_6;Giuis-3;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_7;Rif-4;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_8;Rif-5;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_9;Redan;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_10;Reya;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_11;Reya-2;;;;;;;;;;;;;;x
SOV_largewarship_air_detection_radar_12;Reya-3;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_1;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_2;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_3;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_4;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_5;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_6;;;;;;;;;;;;;;;x
SOV_capitalship_damage_control_7;;;;;;;;;;;;;;;x
SOV_fire_control_computer_1;3m Barr & Stroud;;;;;;;;;;;;;;x
SOV_fire_control_computer_2;8m Geisler, Dreyer table derivative;;;;;;;;;;;;;;x
SOV_fire_control_computer_3;6m KDP-4-6, MV-1;;;;;;;;;;;;;;;x
SOV_fire_control_computer_4;8m KDP-8, MV-1;;;;;;;;;;;;;;;x
SOV_fire_control_computer_5;12m KDP-6-12, MV-1 ;;;;;;;;;;;;;;;x
SOV_fire_control_computer_6;12m KDP-8-12, MV-2, Redan-2 radar;;;;;;;;;;;;;;;x
SOV_fire_control_computer_7;12m KDP-8-12, Zenit-68bis, Redan-2 radar;;;;;;;;;;;;;;;x
SOV_AAA_control_computer_1;KDP-4-8;;;;;;;;;;;;;;x
SOV_AAA_control_computer_2;KDP-8-8;;;;;;;;;;;;;;x
SOV_AAA_control_computer_3;KDP-8-8, Zenit-3;;;;;;;;;;;;;;x
SOV_AAA_control_computer_4;KDP-8-8, Zenit-3, Redan radar;;;;;;;;;;;;;;x
SOV_AAA_control_computer_5;Zenit-68bis, Redan radar;;;;;;;;;;;;;;x
SOV_AAA_control_computer_6;Zenit-68bis, Reya radar;;;;;;;;;;;;;;x
SOV_AAA_control_computer_7;Zenit-72, Reya-2 radar;;;;;;;;;;;;;;x
SOV_floatplane_dev_scout_1;Polikarpov U-2/Po-2;;;;;;;;;;;;;;x
SOV_floatplane_dev_scout_2;Beriev KOR-1/Be-2;;;;;;;;;;;;;;x
SOV_floatplane_dev_scout_3;Beriev KOR-2/Be-4;;;;;;;;;;;;;;x
SOV_floatplane_dev_scout_4;Beriev Be-8;;;;;;;;;;;;;;x
SOV_floatplane_dev_torpedo_1;Polikarpov R-5a;;;;;;;;;;;;;;x
SOV_floatplane_dev_torpedo_2;Beriev KOR-1/Be-2;;;;;;;;;;;;;;x
SOV_floatplane_dev_torpedo_3;Beriev KOR-2/Be-4;;;;;;;;;;;;;;x
SOV_floatplane_dev_torpedo_4;Beriev KOR-3/Be-6;;;;;;;;;;;;;;x
SOV_floatplane_dev_fighter_1;Polikarpov I-5;;;;;;;;;;;;;;x
SOV_floatplane_dev_fighter_2;Polikarpov I-153P;;;;;;;;;;;;;;x
SOV_floatplane_dev_fighter_3;Yakovlev I-100 Hydro;;;;;;;;;;;;;;x
SOV_floatplane_dev_fighter_4;Yakovlev I-200 Hydro;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_1;45mm 21-K, 7.62mm Maxim M1910/30;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_2;45mm 21-K, 7.62mm Maxim M1910/30, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_3;45mm 21-K, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_4;45mm 21-K, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_5;45mm 21-K, 25mm 84-KM, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_6;37mm 70-K, 37mm V-11, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_7;37mm V-11, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_capital_ship_light_anti_air_artilery_8;37mm V-11, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_1;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_2;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_3;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_4;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_5;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_6;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_7;;;;;;;;;;;;;;x
SOV_capital_ship_medium_anti_air_artilery_8;;;;;;;;;;;;;;x
SOV_capital_ship_heavy_anti_air_artilery_1;76.2mm Lender 34-K Model 1915/34;;;;;;;;;;;;;;x
SOV_capital_ship_heavy_anti_air_artilery_2;76.2mm Lender 34-K Model 1915/34, 100mm B-34 Model 1936;;;;;;;;;;;;;;x
SOV_capital_ship_heavy_anti_air_artilery_3;100mm B-34 Model 1936;;;;;;;;;;;;;;x
SOV_capital_ship_heavy_anti_air_artilery_4;100mm B-36 Model 1944;;;;;;;;;;;;;;x
SOV_capital_ship_heavy_anti_air_artilery_5;100mm B-40 Model 1947;;;;;;;;;;;;;;x
SOV##########################################################;;;;;;;;;;;;;x
SOV_light_carrier_technology_0;;;;;;;;;;;;;;x
SOV_light_carrier_technology_1;TsKB-53 1918 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_2;TsKB-53 1931 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_3;TsKB-53 1934 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_4;TsKB-53 1937 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_5;TsKB-53 1940 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_6;TsKB-53 1943 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_7;TsKB-53 1946 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_8;TsKB-53 1949 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_light_carrier_technology_9;TsKB-53 1952 Light Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_technology_1;TsKB-53 1918 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_technology_2;TsKB-53 1930 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_technology_3;TsKB-53 1933 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_1;TsKB-53 1936 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_2;TsKB-53 1939 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_3;TsKB-53 1942 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_4;TsKB-53 1945 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_5;TsKB-53 1948 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_class_6;TsKB-53 1951 Fleet Carrier Blueprint;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_1;45mm 21-K, 7.62mm Maxim M1910/30;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_2;45mm 21-K, 7.62mm Maxim M1910/30, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_3;45mm 21-K, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_4;45mm 21-K, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_5;45mm 21-K, 25mm 84-KM, DShK 12.7mm;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_6;37mm 70-K, 37mm V-11, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_7;37mm V-11, DShK 12.7mm, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_carrier_light_anti_air_artilery_8;37mm V-11, 25mm 84-KM;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_1;76.2mm Lender 34-K Model 1915/34;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_2;76.2mm Lender 34-K Model 1915/34, 100mm B-34 Model 1936;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_3;100mm B-34 Model 1936;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_4;100mm B-36 Model 1944;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_5;100mm B-40 Model 1947;;;;;;;;;;;;;;x
SOV_carrier_heavy_anti_air_artilery_6;100mm B-42 Model 1948;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_1;4 Bladed Manganese 3.5m, 3.5m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_2;4 Bladed Manganese 3.7m, 3.8m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_3;4 Bladed Manganese 3.9m, 4.1m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_4;4 Bladed Manganese 4.1m, 4.4m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_5;4 Bladed Manganese 4.3m, 4.6m pitch;;;;;;;;;;;;;;x
