##################################################################
# BATTLESHIPS
##################################################################

battleship.0 = {
	long_range_submarine_class = 1
	submarine_hull = 2
	submarine_engine = 2
	submarine_crew_berthing = 2
	submarine_torpedo_tubes = 2
	submarine_periscope = 2
	submarine_battery = 2
	submarine_thick_pressure_hull = 0
}
long_range_submarine.2 = {
	submarine_technology = 1
	long_range_submarine_class = 2
	submarine_hull = 3
	submarine_engine = 3
	submarine_crew_berthing = 3
	submarine_torpedo_tubes = 3
	submarine_periscope = 3
	submarine_battery = 3
	submarine_thick_pressure_hull = 0
}
long_range_submarine.3 = {
	submarine_technology = 1
	long_range_submarine_class = 3
	submarine_hull = 5
	submarine_engine = 5
	submarine_crew_berthing = 5
	submarine_torpedo_tubes = 4
	submarine_periscope = 4
	submarine_battery = 4
	submarine_thick_pressure_hull = 0
}
long_range_submarine.4 = {
	submarine_technology = 1
	long_range_submarine_class = 4
	submarine_hull = 6
	submarine_engine = 6
	submarine_crew_berthing = 6
	submarine_torpedo_tubes = 4
	submarine_periscope = 4
	submarine_battery = 4
	submarine_thick_pressure_hull = 0
}
long_range_submarine.5 = {
	submarine_technology = 1
	long_range_submarine_class = 5
	submarine_hull = 7
	submarine_engine = 7
	submarine_crew_berthing = 7
	submarine_torpedo_tubes = 5
	submarine_periscope = 5
	submarine_battery = 5
	submarine_thick_pressure_hull = 0
}
long_range_submarine.6 = {
	submarine_technology = 1
	long_range_submarine_class = 6
	submarine_hull = 8
	submarine_engine = 8
	submarine_crew_berthing = 8
	submarine_torpedo_tubes = 6
	submarine_periscope = 6
	submarine_battery = 6
	submarine_thick_pressure_hull = 1
}
long_range_submarine.7 = {
	submarine_technology = 1
	long_range_submarine_class = 7
	submarine_hull = 9
	submarine_engine = 9
	submarine_crew_berthing = 9
	submarine_torpedo_tubes = 7
	submarine_periscope = 7
	submarine_battery = 7
	submarine_thick_pressure_hull = 1
}
long_range_submarine.8 = {
	submarine_technology = 1
	long_range_submarine_class = 8
	submarine_hull = 10
	submarine_engine = 10
	submarine_crew_berthing = 10
	submarine_torpedo_tubes = 8
	submarine_periscope = 8
	submarine_battery = 8
	submarine_thick_pressure_hull = 1
}

##################################################################
# LANDING CRAFT FLOTILLAS
##################################################################

landing_craft.0 = {
	amphibious_invasion_craft = 1
}

landing_craft.1 = {
	amphibious_invasion_craft = 2
}

landing_craft.2 = {
	amphibious_invasion_craft = 3
}

landing_craft.3 = {
	amphibious_invasion_craft = 4
}

landing_craft.4 = {
	amphibious_invasion_craft = 5
}

landing_craft.5 = {
	amphibious_invasion_craft = 6
}

landing_craft.6 = {
	amphibious_invasion_craft = 7
}

landing_craft.7 = {
	amphibious_invasion_craft = 8
}

landing_craft.8 = {
	amphibious_invasion_craft = 9
}

landing_craft.9 = {
	amphibious_invasion_craft = 10
}

##################################################################
# ASSAULT SHIP FLOTILLAS
##################################################################

assault_ship.0 = {
	advanced_invasion_craft = 1
}

assault_ship.1 = {
	advanced_invasion_craft = 2
}

assault_ship.2 = {
	advanced_invasion_craft = 3
}

assault_ship.3 = {
	advanced_invasion_craft = 4
}

assault_ship.4 = {
	advanced_invasion_craft = 5
}

assault_ship.5 = {
	advanced_invasion_craft = 6
}

assault_ship.6 = {
	advanced_invasion_craft = 7
}

assault_ship.7 = {
	advanced_invasion_craft = 8
}

assault_ship.8 = {
	advanced_invasion_craft = 9
}

assault_ship.9 = {
	advanced_invasion_craft = 10
}

##################################################################
# TRANSPORT SHIPS (TROOP SHIP FLOTILLAS)
##################################################################

transport_ship.0 = {
	transport_ship_hull = 1
	transport_ship_engine = 1
}

transport_ship.1 = {
	transport_ship_hull = 2
	transport_ship_engine = 2
}

transport_ship.2 = {
	transport_ship_hull = 3
	transport_ship_engine = 3
}

transport_ship.3 = {
	transport_ship_hull = 4
	transport_ship_engine = 4
}

transport_ship.4 = {
	transport_ship_hull = 5
	transport_ship_engine = 5
}

transport_ship.5 = {
	transport_ship_hull = 6
	transport_ship_engine = 6
}

transport_ship.6 = {
	transport_ship_hull = 7
	transport_ship_engine = 7
}

transport_ship.7 = {
	transport_ship_hull = 8
	transport_ship_engine = 8
}

transport_ship.8 = {
	transport_ship_hull = 9
	transport_ship_engine = 9
}

transport_ship.9 = {
	transport_ship_hull = 10
	transport_ship_engine = 10
}


##################################################################
# COMMAND SHIPS
##################################################################

command_battleship.0 = {
    battleship_class = 0
	battleship_technology = 0
}
command_battleship.1 = {
    battleship_class = 0
	battleship_technology = 1
}
command_battleship.2 = {
    battleship_class = 0
	battleship_technology = 2
}
command_battleship.3 = {
    battleship_class = 0
	battleship_technology = 3
}
command_battleship.4 = {
    battleship_class = 1
	battleship_technology = 3
}
command_battleship.5 = {
    battleship_class = 2
	battleship_technology = 3
}
command_battleship.6 = {
    battleship_class = 3
	battleship_technology = 3
}
command_battleship.7 = {
    battleship_class = 4
	battleship_technology = 3
}
command_battleship.8 = {
    battleship_class = 5
	battleship_technology = 3
}
command_battleship.9 = {
    battleship_class = 6
	battleship_technology = 3
}
command_battleship.10 = {
    battleship_class = 7
	battleship_technology = 3
}


command_carrier.0 = {
    carrier_technology = 0
    carrier_class = 0
}
command_carrier.1 = {
    carrier_technology = 1
   carrier_class = 0
}
command_carrier.2 = {
    carrier_technology = 2
    carrier_class = 0
}
command_carrier.3 = {
    carrier_technology = 3
    carrier_class = 0
}
command_carrier.4 = {
    carrier_technology = 3
    carrier_class = 1
}
command_carrier.5 = {
    carrier_technology = 3
    carrier_class = 2
}
command_carrier.6 = {
    carrier_technology = 3
    carrier_class = 3
}
command_carrier.7 = {
    carrier_technology = 3
    carrier_class = 4
}
command_carrier.8 = {
    carrier_technology = 3
    carrier_class = 5
}
command_carrier.9 = {
    carrier_technology = 3
    carrier_class = 6
}
command_carrier.10 = {
    carrier_technology = 3
    carrier_class = 7
}
