# Artillery Brigade
artillery_brigade.0 = { #1918 model I
	artillery_activation = 1
	medium_velocity_gun = 3
	high_velocity_gun = 1
	##at_aa_ammo = 4
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}							
sp_anti_air_brigade.6 = {
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 3
	high_velocity_gun = 2
	##at_aa_ammo = 5
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.7 = {
	art_barrell_ammo = 8
	gun_carriage = 7
	range_finding = 7
	small_calibre_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 2
	##at_aa_ammo = 5
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.8 = {
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 4
	high_velocity_gun = 3
	##at_aa_ammo = 6
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.9 = {
	art_barrell_ammo = 9
	gun_carriage = 8
	range_finding = 8
	small_calibre_gun_design = 6
	medium_velocity_gun = 5
	high_velocity_gun = 3
	##at_aa_ammo = 6
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.10 = {
	art_barrell_ammo = 10
	gun_carriage = 9
	range_finding = 9
	small_calibre_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 4
	##at_aa_ammo = 7
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.11 = {
	art_barrell_ammo = 11
	gun_carriage = 10
	range_finding = 10
	small_calibre_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 5
	##at_aa_ammo = 8
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_anti_air_brigade.12 = {
	art_barrell_ammo = 12
	gun_carriage = 11
	range_finding = 11
	small_calibre_gun_design = 9
	medium_velocity_gun = 8
	high_velocity_gun = 6
	##at_aa_ammo = 9
	gasoline_engine_design = 0
	diesel_engine_design = 0
	AA_AT_Rotation = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	aa_at_increase = 0
	aa_at_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
### Mixed Support
mixed_support_brigade.0 = { # model I
	artillery_activation = 2
	infantry_guns = 1
	engineer_brigade_activation = 1
}
mixed_support_brigade.1 = { # model II
	artillery_activation = 3
	infantry_guns = 2
	small_calibre_gun_design = 1
	engineer_brigade_activation = 1
	##at_aa_ammo = 1
}
mixed_support_brigade.2 = { # model III
	artillery_activation = 4
	small_calibre_gun_design = 2
	medium_velocity_gun = 1
	infantry_guns = 2
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 1
	##at_aa_ammo = 1
}
mixed_support_brigade.3 = { # model IV
	artillery_activation = 5
	small_calibre_gun_design = 3
	engineer_brigade_activation = 1
	medium_velocity_gun = 2
	infantry_guns = 3
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 1
	##at_aa_ammo = 1
}
mixed_support_brigade.4 = { # model V
	artillery_activation = 6
	small_calibre_gun_design = 3
	medium_velocity_gun = 3
	infantry_guns = 4
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 1
	##at_aa_ammo = 1
}
mixed_support_brigade.5 = { # model VI
	artillery_activation = 7
	medium_velocity_gun = 3
	infantry_guns = 5
	small_calibre_gun_design = 4
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 2
	engineer_assault_equipment = 2
	##at_aa_ammo = 1
}
mixed_support_brigade.6 = {
	artillery_activation = 8
	medium_velocity_gun = 4
	infantry_guns = 5
	small_calibre_gun_design = 4
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 2
	engineer_assault_equipment = 2
	##at_aa_ammo = 1
}
mixed_support_brigade.7 = {
	artillery_activation = 9
	medium_velocity_gun = 5
	high_velocity_gun = 1
	infantry_guns = 6
	small_calibre_gun_design = 5
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	##at_aa_ammo = 1
}
mixed_support_brigade.8 = {
	artillery_activation = 10
	medium_velocity_gun = 6
	high_velocity_gun = 2
	infantry_guns = 7
	small_calibre_gun_design = 6
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	##at_aa_ammo = 1
}
mixed_support_brigade.9 = {
	artillery_activation = 11
	medium_velocity_gun = 7
	high_velocity_gun = 3
	infantry_guns = 8
	small_calibre_gun_design = 7
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	##at_aa_ammo = 1
}
### Motorized Support Brigade
motorized_support_brigade.0 = { # ingame-model I
	Artillery_motorization  = 1
	small_calibre_gun_design = 1
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 0
	infantry_guns = 2
	##at_aa_ammo = 1
	engineer_brigade_activation = 1
	Support_battalions_motorization = 1
}
motorized_support_brigade.1 = { # ingame-model II
	Artillery_motorization  = 1
	small_calibre_gun_design = 1
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 1
	infantry_guns = 2
	##at_aa_ammo = 1
	engineer_brigade_activation = 1
	Support_battalions_motorization = 1
}
motorized_support_brigade.2 = { # ingame-model III
	Artillery_motorization  = 1
	small_calibre_gun_design = 2
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 2
	infantry_guns = 2
	##at_aa_ammo = 1
	engineer_brigade_activation = 1
	Support_battalions_motorization = 1
	medium_velocity_gun = 1
}
motorized_support_brigade.3 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 3
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 2
	infantry_guns = 3
	##at_aa_ammo = 1
	engineer_brigade_activation = 1
	Support_battalions_motorization = 1
	medium_velocity_gun = 2
}
motorized_support_brigade.4 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 3
	art_barrell_ammo = 4
	gun_carriage = 4
	range_finding = 2
	infantry_guns = 4
	##at_aa_ammo = 1
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 1
	Support_battalions_motorization = 1
	medium_velocity_gun = 3
}
motorized_support_brigade.5 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 4
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 2
	infantry_guns = 5
	##at_aa_ammo = 1
	engineer_brigade_activation = 2
	engineer_bridging_equipment = 2
	engineer_assault_equipment = 2
	Support_battalions_motorization = 1
	medium_velocity_gun = 3
}
motorized_support_brigade.6 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 4
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 2
	infantry_guns = 5
	##at_aa_ammo = 1
	engineer_brigade_activation = 2
	engineer_bridging_equipment = 2
	engineer_assault_equipment = 2
	Support_battalions_motorization = 1
	medium_velocity_gun = 4
}
motorized_support_brigade.7 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 5
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 2
	infantry_guns = 6
	##at_aa_ammo = 1
	engineer_brigade_activation = 2
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	Support_battalions_motorization = 1
	medium_velocity_gun = 5
	high_velocity_gun = 1
}
motorized_support_brigade.8 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 6
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 2
	infantry_guns = 7
	##at_aa_ammo = 1
	engineer_brigade_activation = 2
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	Support_battalions_motorization = 1
	medium_velocity_gun = 6
	high_velocity_gun = 2
}
motorized_support_brigade.9 = {
	Artillery_motorization  = 1
	small_calibre_gun_design = 4
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 2
	infantry_guns = 8
	##at_aa_ammo = 1
	engineer_brigade_activation = 3
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
	Support_battalions_motorization = 1
	medium_velocity_gun = 7
	high_velocity_gun = 3
}
### Armored Support Brigade
armored_support_brigade.0 = {
	tank_chassis_design = 0
	advanced_tank_chassis_design = 0
	small_calibre_gun_design = 0
	artillery_support_gun_design = 0
	medium_velocity_gun = 0
	high_velocity_gun = 0
	art_barrell_ammo = 0
	gun_carriage = 0
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 0
	engineer_assault_equipment = 0
}
armored_support_brigade.1 = {
	tank_chassis_design = 1
	advanced_tank_chassis_design = 0
	small_calibre_gun_design = 1
	artillery_support_gun_design = 1
	medium_velocity_gun = 0
	high_velocity_gun = 0
	art_barrell_ammo = 1
	gun_carriage = 1
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 0
	engineer_assault_equipment = 0
}
armored_support_brigade.2 = {
	tank_chassis_design = 2
	advanced_tank_chassis_design = 0
	small_calibre_gun_design = 2
	artillery_support_gun_design = 2
	medium_velocity_gun = 1
	high_velocity_gun = 0
	art_barrell_ammo = 2
	gun_carriage = 2
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 0
}
armored_support_brigade.3 = {
	tank_chassis_design = 2
	advanced_tank_chassis_design = 0
	small_calibre_gun_design = 3
	artillery_support_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 1
}
armored_support_brigade.4 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 0
	small_calibre_gun_design = 3
	artillery_support_gun_design = 3
	medium_velocity_gun = 2
	high_velocity_gun = 0
	art_barrell_ammo = 4
	gun_carriage = 4
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 1
	engineer_assault_equipment = 1
}
armored_support_brigade.5 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 1
	small_calibre_gun_design = 4
	artillery_support_gun_design = 4
	medium_velocity_gun = 3
	high_velocity_gun = 0
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 2
	engineer_assault_equipment = 2
}
armored_support_brigade.6 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 1
	small_calibre_gun_design = 5
	artillery_support_gun_design = 5
	medium_velocity_gun = 4
	high_velocity_gun = 0
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
}
armored_support_brigade.7 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 2
	small_calibre_gun_design = 6
	artillery_support_gun_design = 6
	medium_velocity_gun = 5
	high_velocity_gun = 1
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
}
armored_support_brigade.8 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 3
	small_calibre_gun_design = 7
	artillery_support_gun_design = 7
	medium_velocity_gun = 6
	high_velocity_gun = 2
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
}
armored_support_brigade.9 = {
	tank_chassis_design = 3
	advanced_tank_chassis_design = 3
	small_calibre_gun_design = 8
	artillery_support_gun_design = 8
	medium_velocity_gun = 7
	high_velocity_gun = 3
	art_barrell_ammo = 9
	gun_carriage = 9
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_thickness = 0	
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	spaced_armour = 0
	AFV_AA_defense = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	direct_fire_training = 0
	direct_fire_command_and_control = 0
	wet_ammo_stowage = 0
	anti_personel = 0
	tank_optics = 0
	tank_radios = 0
	armor_alloy = 0
	armor_sloped_design = 0
	AA_AT_Rotation = 0
	##at_aa_ammo = 0
	engineer_brigade_activation = 1
	engineer_bridging_equipment = 3
	engineer_assault_equipment = 3
}
#EOF#
